Puzzle,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty
...89..1..38.4.96...51....79..563..1...9..6..4...7..3..6..1..7...........1..5....,26,49,6,0,0,0,0,0,0,Easy,
.......15.9...5....72...........2..8...5489.7...3.7.5.98......32.4....8...37..42.,26,42,13,0,0,0,0,0,0,Easy,
1.5..8.637...53..18..7.....2.13..64.68.4..5....4.8..1..............24..6..7...4.5,29,37,13,2,0,2,0,2,0,Expert,
.2....6.44.6..8..11.76...2.8.......5...9...429......7.6..8.1..9..579..8......62..,28,36,17,0,0,0,0,0,0,Easy,
293.........263..16...4..5...85....6...6.9.....4..1...5.9....823...1.....8....1..,25,35,21,1,0,0,0,0,0,Intermediate,
..9.....5..1.789..8....2.1...5..328.7.8......2...9..........5.8.47..5..1...2..3..,25,47,9,0,0,0,0,0,0,Easy,
7.....6...9...24....3.5..19....4...6..........1.7......3..91..46...23..7521.6...3,26,55,0,0,0,0,0,0,0,Simple,
.....9.151..53.74.7.....2...9.65.......3.7.91..2...4...5.......9.....574.......62,26,99,19,3,0,7,0,8,10,Expert,
..35..4..2.4..8.1..7....38........6.....41...4..6........3.71...6.1..27.5...6....,24,48,26,0,1,2,1,3,2,Expert,
.......9349.5.1..2.2..3.1..............2..43....169......3.854...........6..5.8..,23,48,10,0,0,0,0,0,0,Easy,
.....92......1.......7..3.5.5......3...1..9......5.6.752.9...4.4.127.....7356...9,26,47,8,0,0,0,0,0,0,Easy,
..6.2...5......74...........4..32..8..567...493.......2..983.5.5.........8...729.,25,38,18,0,0,2,0,0,0,Intermediate,
.1....3.......2.......8.....5..1698.89.5..17.7....9..6..5.3.61..3.26.........87..,26,40,15,3,1,1,0,0,0,Intermediate,
...6.....2.5...........3.6......4..3136.95..4....2..5......1.4541..7..2..7.2...39,26,44,11,0,0,0,0,0,0,Easy,
543....2...7....89....4..7.9.....246....2.9..4..69..53.2...5...7..26.8..3........,27,46,7,3,0,0,0,1,0,Expert,
....3..96...1......2.6....379...82..8.1...57.........99.3....2.2...5.....68.1....,24,39,18,0,0,0,0,0,0,Easy,
........4.6.....8..9..5....4..176...7.6.........4.3..8..561.........8.39......5.7,22,47,12,0,0,0,0,0,0,Easy,
6...4.....4.7258..5.......9.6....1...84..7...1..5...72...4.1.2........9....672...,25,58,18,2,0,1,0,4,4,Expert,
932........17...3....6......2.5..6.965..7.32......1.5.54739..6.2..........6....9.,27,50,18,0,0,0,0,2,2,Expert,
2......8.7....4..1......7.4.....2138...85...2......6..53.2..47.....45...1.83.6..5,27,57,6,2,1,2,0,3,2,Expert,
36.5..9.......123..9..2.4.5..81.4.......8........53.....4.1.3.26....8.......39..4,26,49,6,0,0,0,0,0,0,Easy,
.9..7682....38......72..16.7824.9.....9.2......6..8.......4...6.4..1.9..2......3.,27,56,12,2,0,1,0,3,2,Expert,
8.....6...2.9..........1.....8...9..2.7.3..1531.759.2....1.....6..2983......672..,27,61,21,0,0,2,0,5,6,Expert,
.....47........653...........8..3.4........36..1.8.....17.4238..5481..2..2.5..4..,26,45,10,0,0,0,0,0,0,Easy,
.4..........1.5......7..1.......163.71..4..2....2......65........1.86..5428.3...6,24,51,18,1,0,0,0,3,2,Expert,
.7.81...3....5.4....87.29..73.2....4.....9....2..8...7..1.........5........4...52,23,48,10,0,0,0,0,0,0,Easy,
29.81.5..4...........2......82549...............321.....8.574.1.3...829..1....8.5,27,50,4,3,0,1,0,0,0,Intermediate,
5....46...61........95...71.576...828..45......2.9..1.7.......8..4..97....8......,26,44,11,0,0,0,0,0,0,Easy,
324...85......4...68....3...1...348....4............2.7.1.6..4..65..1...8..5.2..7,26,40,15,1,0,0,0,0,0,Intermediate,
.9....58.1...........4.9...2.15...37..7.3..1..8...1...9..72.....7..83.4.4.8......,25,45,11,0,0,0,0,0,0,Easy,
85....9...975..1....1.........9..3....2....8.4..2.7..5..83.....5...2.......4...27,23,51,20,2,1,4,0,7,6,Expert,
..7...5...584.7......1..6...8.6....51...24.8.....7..2....9.6..1...5.8.......4...9,24,92,14,1,2,2,0,8,14,Expert,
.5.34...83..2...19..7..8....9...1.72.4.8.2.......74.3.....8.1..8.....927........5,27,44,10,0,0,0,0,0,0,Easy,
...273........6.5.2...5..46....41......3..67152.6.....4......3.3....2.67...9.....,25,41,15,3,0,2,0,0,0,Intermediate,
5.6...2....9.6481..4..5........8...1.952...7871.......127............4.........56,25,40,16,0,0,0,0,0,0,Easy,
.....6.79...587....6......4.8..6.7.33.............894583.........4....917.9...65.,26,42,13,0,0,0,0,0,0,Easy,
19..43..53.47...............172.53.4...83.5....29..8.7.53.......81...........97..,27,48,6,0,0,0,0,0,0,Easy,
.42.....11.35...78......46..1......47......8.....5..3............5..3.478.642.5..,25,44,12,0,0,0,0,0,0,Easy,
.....8....5.......6.7..2.......23..9..2.5..1.3..81.2.6......1.2.7...68....97...5.,24,42,15,2,0,0,0,0,0,Intermediate,
........5..6...9.8.9...3....625.....83......1..91.8....857...1...7.9....91..2.7.6,26,44,11,4,0,2,0,0,0,Intermediate,
.1.5......96..4..3.4...87....3...916............6.9.7....8....9...7.61.8...41356.,27,43,11,4,0,0,0,0,0,Intermediate,
........3...1.5642....98............2...4......4..653.....3.2....948..6..1...9..5,23,47,11,0,0,0,0,0,0,Easy,
.....1.9...2..67.1...5.3.8.237......9..6..5.7.6........7.93.....9..1.6.........19,25,28,27,0,0,1,1,1,0,Expert,
4...6.2...53749...1.6.....7...........5..219...9...634...15.......32..6......7...,25,56,0,0,0,0,0,0,0,Simple,
5...479...38..2..694..5.........4...372...6........29........42......783...5.....,24,52,5,0,0,0,0,0,0,Easy,
..67....44.1.8.2.7.3...51.87............6.8....5..8.........5.2..4.5....8....361.,25,45,11,0,0,0,0,0,0,Easy,
16...9....5.4......432.............48..15.6.33.1...9.2.......26.....65.....3..8.9,25,48,8,0,0,0,0,0,0,Easy,
.2..1...819.687.2..6....13....92....27..61.59.....8.6.....9..7..3........897.....,28,33,20,0,0,0,0,0,0,Easy,
.5...29.7....37...3...5....84.3..2.........4....67......374.8.25.8.9.6...6..8.39.,28,40,13,0,0,0,0,0,0,Easy,
.8.7.2.4...........5...4.9...41....8..62..45..2..75...961...2..4....76.......8...,25,56,0,0,0,0,0,0,0,Simple,
.8.......1.....5.37......4........31.5......44.3...96..9..6.1..6.71.9.8.8...73...,25,49,7,0,0,0,0,0,0,Easy,
32...6.....7..4.3..9.2..76.186......7..1......3.......6.87...2.....3...1....498..,25,42,14,0,0,0,0,0,0,Easy,
7........9.62....5....5...8.8.......6.93.....21.986......532..1..71..5.......7.9.,25,43,13,3,0,2,0,0,0,Intermediate,
.34.6..........15...8....73.17.......4.3.1..8.69.8.........9..4....1.8.7...6...9.,24,52,13,1,1,1,0,3,2,Expert,
.4.5.....6.12.7....95........732..5....6....2......4...6..3......9.64...2..9...17,24,43,14,0,0,0,0,0,0,Easy,
.....9.8...54.8791.....5.....8..69...295.74.....8.4.....4......5.7....2.61......5,26,36,19,1,0,0,0,0,0,Intermediate,
.8..2.1...1....296...54...8...98..4...7.16......7.....2.1...6...9..64......1....9,25,37,18,0,0,2,0,1,0,Expert,
....29....4216..7.6......3.9....17..8.13...46.2.4....1.87...................4.368,26,62,15,2,1,2,1,4,2,Expert,
..9.75.....3..1.........3.6.....4.....7.5...1.61....7..5.2..1.7....6..35.2.....6.,23,25,33,0,0,0,0,0,0,Easy,
.........712...5..48..5..9...91....5.3.......1..3..7..2..4.7..8.......193589....4,26,41,14,1,0,3,0,0,0,Intermediate,
...4.68...7...9.........7..714....3...9..4..6.......1..31.4.6.5.4.6......8.9.3.7.,25,34,22,0,0,0,0,0,0,Easy,
.....8534.....1......4..6...5..9.1.898...3...1......4.39.....1...85......4....379,25,50,21,2,0,1,0,2,2,Expert,
4..........5....29......8...9..7.6....4.1..9...75....16.8..2.4....6.1...5.2.497..,25,31,25,0,0,0,0,0,0,Easy,
..2...4.1..72.......9....58.41.......2.5..3..5...81......49.....7....52.......839,24,42,14,0,0,2,0,1,0,Expert,
1......6..53..24....27...3..24..31.5.7..6.........4..8...5..3......1....3.......7,23,45,13,0,0,0,0,0,0,Easy,
1.8..43....75..1..43.....7...6..89.....9....57..6...4....7.....3.......15....36..,24,48,9,0,0,0,0,0,0,Easy,
..8.59..67...83.........9..9.7....48.8......11.....39.4.....5...394......76.1...9,26,69,16,2,0,5,0,5,4,Expert,
.....1..8.68.2.3.41.4..........8...9...9.42..39..1........48.6...6.....7.8.3.2...,25,41,15,0,0,0,0,0,0,Easy,
......4.53.....6......3...2.....1.6.2...895..4.9..2......5..843...62.....1.......,22,44,15,0,0,1,0,0,0,Intermediate,
1.572..3.94..3...23.8..4...4...7..5......5..3...3..4.9.....7.9....4.81......9....,26,112,23,1,0,1,0,16,24,Expert,
2.9.7.....73...62.6......5.9....2.....4..51.......7235..6.1.....1.....6..3..4....,24,48,9,0,0,0,0,0,0,Easy,
6.71...89.5.9..763..........9.3.8.56..851....3..7.62....6..7..5..3.....19........,28,27,25,2,0,2,0,1,0,Expert,
3...925..47.6..8.95.....2.......4...9..........7..8..3.2...9....9.7......854...62,25,38,18,0,0,0,0,0,0,Easy,
5..4..2...8...7..3...63284.6.9......8...69.............24....8.....9..7.75...8.6.,25,42,14,0,0,0,0,0,0,Easy,
...35.47....6.7...5.79.......4...5.1..3......1.........3.58...99.1.43...8..1....6,25,50,6,0,0,0,0,0,0,Easy,
.........694..2....7....94..6..24..9..7.59.......3..7..........52..7...683.6..5..,24,45,12,1,0,0,0,0,0,Intermediate,
..4..6...58..4..7..9.573......1..3.6.6.....51..78..4.....3...1...........4....968,25,59,17,5,0,1,0,2,2,Expert,
.1....7..958.4..2..2.3......95.8........3.2....25.9.3......8..98..4......37.5....,25,33,23,0,0,0,0,0,0,Easy,
6.....57......4.......7.132..4.1..68....3...5.7.5...2..4.2.5.1...31...4.......6..,25,41,13,0,1,1,1,2,0,Expert,
..9...5....7....2.865...4..1.....65..52......9..4..8.2......9.86...891.4...1.4.6.,27,54,0,0,0,0,0,0,0,Simple,
.9...4..5..3.8...2.4.56.81...2...4..........9.1.3...6.4.....1..9.56.12...3.......,25,53,3,0,0,0,0,0,0,Easy,
......7...3....458...2.............7.25.4......4.238..9.......1.137.5..42...9..7.,24,196,21,7,2,3,2,21,30,Expert,
2.5.....83.68.79.....59.........3...8....653............3..4..698..2.47.5......9.,25,56,0,0,0,0,0,0,0,Simple,
........88......52...87.9..69.4.....4.56..2.92.8..9..6..7.2...5..4....373...4....,27,48,6,0,0,0,0,0,0,Easy,
463..........7......9.6..4.5.49...83.1...69......3.7..9....5....714......4.......,23,39,19,0,0,0,0,0,0,Easy,
.61.3............3..9..26.1.8...........5...8....6..5.8.5.91.2..2.8....6.1..237..,25,107,12,0,2,5,0,14,14,Expert,
