Puzzle,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty
.8.51......48.3...96....1.....3819..3..2.....4.9......6..9..42...5........2..63..,25,41,15,2,0,0,0,0,0,Intermediate,
2.1..5...4.........3....85....92..8.68.........25..3.4........6.9...3...51....4.2,23,44,14,1,0,0,0,0,0,Intermediate,
.8...3.42...9..........61..14.....8586....31.....9...........53.5..8........49.6.,23,50,8,0,3,3,0,0,0,Intermediate,
4..1......86....41..9.2458.1.2.....3.9........4..3.9....5.........942....2.8..3..,25,49,7,0,0,1,0,0,0,Intermediate,
......9.....23..81..25...3..8....29..73..4..5....1..7.......74..9...8.5..381.....,25,47,9,1,0,2,0,0,0,Intermediate,
2.7.....16....84.....3.......3....18.7...3..4...98..6....8......6.7.....9.2.1.6..,23,41,17,4,0,0,0,0,0,Intermediate,
..2...453..1....2....8.3..91..2.6...64..5.3......1.8...2.......8.5.4.......9.1...,24,37,20,2,0,2,0,0,0,Intermediate,
...74.......25....96.......7.46.19.5.8....67..9...814.81.9245..4...8..1..........,28,50,3,2,0,0,0,0,0,Intermediate,
........2.39.5......789..4......8..6.6.5.7.2.8.3.......2.........64.5..794.2...5.,25,40,16,1,0,0,0,0,0,Intermediate,
........2.1.2.39..97.......691...4.....91..............8..261377..1...98.3......6,25,41,15,1,0,0,0,0,0,Intermediate,
